question_id,quiz_name,subject,domain,skill_tag,difficulty,question_text,image_url,option_a,option_b,option_c,option_d,correct_answer,explanation_original,explanation_ai_enhanced,feedback_a,feedback_b,feedback_c,feedback_d
CB-T4-RW1-Q1,CB-T4-RW-M1,Reading Writing,Craft and Structure,Words in Context,Easy,"The spacecraft OSIRIS-REx briefly made contact with the asteroid 101955 Bennu in 2020. NASA scientist Daniella DellaGiustina reports that despite facing the unexpected obstacle of a surface mostly covered in boulders, OSIRIS-REx successfully _____ a sample of the surface, gathering pieces of it to bring back to Earth. Which choice completes the text with the most logical and precise word or phrase?",,attached,collected,followed,replaced,collected,"Choice B is the best answer because it most logically completes the text’s discussion of the OSIRIS-REx spacecraft’s contact with the asteroid 101955 Bennu. In this context, “collected” means acquired and took away. The text indicates that although the boulders on the asteroid’s surface caused some unforeseen problems, OSIRIS-REx was able to gather a sample to return to Earth. This context suggests that OSIRIS-REx successfully collected a sample of 101955 Bennu. Choice A is incorrect because in this context “attached” means connected or affixed. The text indicates that OSIRIS-REx gathered pieces of 101955 Bennu to bring to Earth; it doesn’t suggest that the spacecraft attached anything to the asteroid. Choice C is incorrect because in this context “followed” means tracked or traveled behind and the text discusses OSIRIS-REx’s brief encounter with 101955 Bennu during which the spacecraft gathered a sample to bring to Earth. The text doesn’t suggest that the spacecraft tracked the sample, and it’s not clear what it would mean for the spacecraft to travel behind the sample it collected. Choice D is incorrect because in this context “replaced” means put back or returned. The text indicates that OSIRIS-REx gathered pieces of 101955 Bennu to bring to Earth but doesn’t suggest that anything was returned to the asteroid.","The question asks for the most logical and precise word to complete the sentence describing OSIRIS-REx's action. The context states that OSIRIS-REx successfully ""a sample of the surface, gathering pieces of it to bring back to Earth."" The phrase ""gathering pieces of it"" strongly implies the act of obtaining or acquiring something. ""Collected"" perfectly fits this meaning, indicating that the spacecraft successfully acquired the sample.","This choice is incorrect. ""Attached"" means to fasten or join something to something else. The text describes the spacecraft ""gathering pieces of"" the asteroid, not attaching anything to it. This word does not fit the context of acquiring a sample.","This is the correct answer. ""Collected"" means to gather or acquire something, which directly aligns with the phrase ""gathering pieces of it to bring back to Earth."" The spacecraft successfully acquired the sample.","This choice is incorrect. ""Followed"" means to move behind something or to track it. The sentence refers to the spacecraft obtaining a sample, not tracking it. It makes no sense for the spacecraft to ""follow"" a sample it is in the process of gathering.","This choice is incorrect. ""Replaced"" means to put something back in its previous place or to substitute one thing for another. The text clearly states OSIRIS-REx was gathering a sample to bring back, not returning or substituting anything on the asteroid's surface."
CB-T4-RW1-Q2,CB-T4-RW-M1,Reading Writing,Craft and Structure,Words in Context,Medium,"Research conducted by planetary scientist Katarina Miljkovic suggests that the Moon's surface may not accurately _____ early impact events. When the Moon was still forming, its surface was softer, and asteroid or meteoroid impacts would have left less of an impression; thus, evidence of early impacts may no longer be present. Which choice completes the text with the most logical and precise word or phrase?",,reflect,receive,evaluate,mimic,reflect,"Choice A is the best answer because it most logically completes the text’s discussion of the Moon’s surface. In this context, “collected” means show or make apparent. The text states that because the surface of the Moon was softer when the Moon was still forming than it is now, early asteroid and meteoroid impacts “would have left less of an impression” and, as a result, evidence of them may no longer exist. This context supports the idea that the surface of the Moon may not accurately show signs of early impact events. Choice B is incorrect because it wouldn’t make sense to say that the surface of the Moon may not accurately “receive,” or acquire or experience, early impacts from asteroids or meteoroids. The text indicates that the impacts have already occurred, and it isn’t clear how the Moon’s surface could be accurate or inaccurate in experiencing them. Choice C is incorrect because it wouldn’t make sense to say that the surface of the Moon may not accurately “evaluate,” or determine the significance or condition of, early impacts from asteroids or meteoroids, since that would suggest that it’s possible for the Moon’s surface to make a decision of any kind. Choice D is incorrect. In this context, “mimic” would mean to deliberately simulate or closely imitate something. It wouldn’t make sense to say that the surface of the Moon may not accurately mimic early asteroid and meteoroid impacts, since that would suggest that it’s possible for the Moon to deliberately imitate something.","The sentence explains that the Moon's surface was softer during its formation, meaning early impacts would leave less of an impression, and thus, evidence ""may no longer be present."" The blank needs a word that conveys the idea of showing or accurately representing these past events. ""Reflect"" means to show or be a sign of something, which logically completes the idea that the Moon's surface might not accurately *show* or *represent* the early impact events due to its softer state at the time.","This is the correct answer. ""Reflect"" means to show or embody something. Given that the Moon's surface was softer and impacts left less impression, it logically follows that the surface might not accurately ""reflect"" or show these early events.","This choice is incorrect. ""Receive"" means to acquire or experience something. While the Moon's surface ""received"" impacts, the sentence is discussing its ability to *show* or *preserve* evidence of those impacts, not its ability to initially experience them.","This choice is incorrect. ""Evaluate"" means to assess or determine the significance of something. The Moon's surface is an inanimate object and cannot ""evaluate"" anything. This word implies a cognitive action that is not applicable here.","This choice is incorrect. ""Mimic"" means to imitate or simulate. The Moon's surface is not deliberately imitating early impact events; the discussion is about whether it *retains* or *shows* the signs of those events."
CB-T4-RW1-Q3,CB-T4-RW-M1,Reading Writing,Craft and Structure,Words in Context,Easy,"Handedness, a preferential use of either the right or left hand, typically is easy to observe in humans. Because this trait is present but less _____ in many other animals, animal-behavior researchers often employ tasks specially designed to reveal individual animals' preferences for a certain hand or paw. Which choice completes the text with the most logical and precise word or phrase?",,recognizable,intriguing,significant,useful,recognizable,"Choice A is the best answer because it most logically completes the text’s discussion about handedness in animals. As used in this context, “recognizable” means apparent or identifiable. The text indicates that handedness is “easy to observe in humans,” but that animal-behavior researchers use special tasks to determine handedness in other animals. This context and the use of “less” before the blank indicate that compared with handedness in humans, handedness in other animals is less recognizable. Choice B is incorrect because there’s nothing in the text to suggest that handedness is less “intriguing,” or fascinating, in nonhuman animals than it is in humans. The text focuses on how easy it is to observe handedness in humans as compared with other animals; the text doesn’t suggest that handedness is more fascinating in humans. Choice C is incorrect because there’s nothing in the text to suggest that handedness is less “significant,” or important or meaningful, in nonhuman animals than it is in humans. The text focuses on how easy it is to observe handedness in humans as compared with other animals; the text doesn’t suggest that handedness is more significant in humans. Choice D is incorrect because “useful,” or functional or helpful, wouldn’t make sense in context. The text focuses on the ease with which researchers can determine whether an animal or person is right- or left-handed, not on how useful handedness in nonhuman animals is compared with handedness in humans.","The text states that handedness is ""easy to observe in humans"" but ""less _____ in many other animals,"" requiring ""specially designed tasks to reveal"" it. The blank needs a word that contrasts with ""easy to observe."" ""Recognizable"" means easily identified or observed. If it's easy to observe in humans but requires special tasks in other animals, then it's less *recognizable* in those animals. This fits the comparative structure and the need for specialized methods.","This is the correct answer. ""Recognizable"" means able to be identified or observed. The sentence implies that while handedness is easy to see in humans, it's harder to spot in other animals, requiring special methods—thus, it's ""less recognizable.""","This choice is incorrect. ""Intriguing"" means fascinating or captivating. While handedness might be intriguing, the text focuses on the *ease of observation* (or lack thereof) across species, not its inherent fascination.","This choice is incorrect. ""Significant"" means important or meaningful. The text discusses the *observability* of the trait, not its importance or significance, in relation to the use of specialized tasks by researchers.","This choice is incorrect. ""Useful"" means functional or helpful. This word does not fit the context of how easily the trait can be perceived or identified, which is the focus of the comparison between humans and other animals regarding handedness."
CB-T4-RW1-Q4,CB-T4-RW-M1,Reading Writing,Craft and Structure,Words in Context,Medium,"It is by no means _____ to recognize the influence of Dutch painter Hieronymus Bosch on Ali Banisadr's paintings; indeed, Banisadr himself cites Bosch as an inspiration. However, some scholars have suggested that the ancient Mesopotamian poem Epic of Gilgamesh may have had a far greater impact on Banisadr's work. Which choice completes the text with the most logical and precise word or phrase?",,substantial,satisfying,unimportant,appropriate,unimportant,"Choice C is the best answer because it most logically completes the text’s discussion of the influences on Banisadr’s work. As used in this context, “unimportant” means trivial or lacking value. “It is by no means” establishes that the word that goes in the blank is contradicted by other information; the material that follows “indeed” later in that sentence provides the contradicting information—namely, that Banisadr himself cites Bosch as an inspiration. In other words, the sentence indicates that Bosch’s influence on Banisadr is significant, and thus recognizing that influence is by no means unimportant. Choice A is incorrect because it wouldn’t make sense to say that recognizing Bosch’s influence on Banisadr isn’t “substantial,” or meaningful. The text states that Banisadr himself cites Bosch as an inspiration. Choice B is incorrect because it wouldn’t make sense to say that it isn’t “satisfying,” or pleasing, to recognize Bosch’s influence on Banisadr. The text states that Banisadr himself cites Bosch as an inspiration. Choice D is incorrect because it wouldn’t make sense to say that recognizing Bosch’s influence on Banisadr isn’t “appropriate,” or suitable. The text indicates that Banisadr himself notes that Bosch’s work has had an effect on him.","The sentence structure ""It is by no means _____"" introduces a statement that will be contradicted by the subsequent information. The following clause, ""indeed, Banisadr himself cites Bosch as an inspiration,"" directly confirms Bosch's influence. Therefore, the blank must be filled with a word that means the opposite of what the subsequent ""indeed"" clause suggests. If Banisadr himself cites Bosch, then recognizing Bosch's influence is clearly *not* unimportant. Thus, ""unimportant"" logically completes the phrase ""It is by no means unimportant,"" meaning it is *definitely* important.","This choice is incorrect. If Banisadr cites Bosch as an inspiration, it would make sense for recognizing Bosch's influence to be ""substantial"" (significant), not ""by no means substantial,"" which would imply it's insignificant.","This choice is incorrect. ""Satisfying"" (pleasing or fulfilling) doesn't fit the logical flow. The sentence isn't about whether recognizing the influence is personally satisfying, but rather about the undeniable presence of that influence.","This is the correct answer. The phrase ""It is by no means unimportant"" means ""it is certainly important"" or ""it is definitely not trivial."" This aligns perfectly with the subsequent information that Banisadr himself cites Bosch as an inspiration, confirming the significance of Bosch's influence.","This choice is incorrect. ""Appropriate"" (suitable or proper) does not fit the rhetorical structure. The sentence is emphasizing the *obviousness* or *certainty* of Bosch's influence, not whether it is ""appropriate"" to recognize it."
CB-T4-RW1-Q5,CB-T4-RW-M1,Reading Writing,Information and Ideas,Main purpose/idea,Medium,"The following text is adapted from Susan Glaspell's 1912 short story ""Out There."" An elderly shop owner is looking at a picture that he recently acquired and hopes to sell. It did seem that the picture failed to fit in with the rest of the shop. A persuasive young fellow who claimed he was closing out his stock let the old man have it for what he called a song. It was only a little out-of-the-way store which subsisted chiefly on the framing of pictures. The old man looked around at his views of the city, his pictures of cats and dogs, his flaming bits of landscape. ""Don't belong in here,"" he fumed. And yet the old man was secretly proud of his acquisition. There was a hidden dignity in his scowling as he shuffled about pondering the least ridiculous place for the picture. Which choice best states the main purpose of the text?",,To reveal the shop owner's conflicted feelings about the new picture,To convey the shop owner's resentment of the person he got the new picture from,To describe the items that the shop owner most highly prizes,To explain differences between the new picture and other pictures in the shop,To reveal the shop owner's conflicted feelings about the new picture,"Choice A is the best answer because it most accurately describes the main purpose of the text. The text begins by stating that the new picture “failed to fit in” with the other items that the shop owner has. The text goes on to illustrate that point by describing the other pictures the shop owner has, indicating that the shop owner is fuming because he doesn’t think the new picture belongs in the store. In the second paragraph, however, the text indicates that the shop owner is “secretly proud of his acquisition.” The main purpose of the text is thus to reveal the shop owner’s conflicted feelings about the new picture. Choice B is incorrect because the text doesn’t suggest that the shop owner resents the young man who sold him the new picture; in fact, the text gives no indication of the owner’s feelings about the young man at all. Choice C is incorrect. Although the text indicates that the new picture is different from the other items in the shop, there’s no suggestion that the shop owner prizes either the new picture or the pictures of the city, pets, and landscapes more than he prizes any items. Choice D is incorrect because the text doesn’t describe what the new picture looks like; rather, the text identifies some of the other kinds of images that the shop owner has and states that they’re different from the new picture without explaining how they’re different.","The text describes the shop owner's initial reaction to the new picture: ""failed to fit in,"" ""Don't belong in here,"" and his fuming. However, the second paragraph reveals, ""And yet the old man was secretly proud of his acquisition. There was a hidden dignity in his scowling as he shuffled about pondering the least ridiculous place for the picture."" This juxtaposition of external disapproval and internal pride highlights the owner's mixed feelings. Therefore, the main purpose is to show this internal conflict.","This is the correct answer. The text explicitly contrasts the shop owner's outward fuming and feeling that the picture ""failed to fit in"" with his internal ""secretly proud"" feelings and ""hidden dignity"" while pondering its placement. This directly reveals his conflicted feelings.","This choice is incorrect. While the shop owner acquired the picture from a ""persuasive young fellow,"" the text provides no information or suggestion that the shop owner harbors resentment towards this person. The focus is on his feelings about the picture itself.","This choice is incorrect. The text describes other items in the shop (views of the city, cats and dogs, landscapes) to show what the new picture ""failed to fit in"" with. It does not state or imply that these items are what the shop owner ""most highly prizes.""","This choice is incorrect. The text notes that the new picture doesn't fit with the ""other pictures"" (landscapes, etc.) but does not describe the new picture itself, nor does it extensively explain the *differences* between it and the other pictures. The contrast is more about fitting in."
CB-T4-RW1-Q8,CB-T4-RW-M1,Reading Writing,Craft and Structure,Text structure/purpose,Medium,"The mimosa tree evolved in East Asia, where the beetle Bruchidius terrenus preys on its seeds. In 1785, mimosa trees were introduced to North America, far from any B. terrenus. But evolutionary links between predators and their prey can persist across centuries and continents. Around 2001, B. terrenus was introduced in southeastern North America near where botanist Shu-Mei Chang and colleagues had been monitoring mimosa trees. Within a year, 93 percent of the trees had been attacked by the beetles. Which choice best describes the function of the third sentence in the overall structure of the text?",,It states the hypothesis that Chang and colleagues had set out to investigate using mimosa trees and B. terrenus.,It presents a generalization that is exemplified by the discussion of the mimosa trees and B. terrenus.,It offers an alternative explanation for the findings of Chang and colleagues.,It provides context that clarifies why the species mentioned spread to new locations.,It presents a generalization that is exemplified by the discussion of the mimosa trees and B. terrenus.,"Choice B is the best answer because it most accurately describes the function of the third sentence within the overall structure of the text. The third sentence makes a generalization, asserting that evolutionary links between predators and prey can persist across great expanses of time and distance. This generalization is exemplified by the text’s discussion of the relationship between mimosa trees and B. terrenus beetles. When mimosa trees were introduced to North America in 1785, no B. terrenus beetles were present, so the relationship between the trees and the beetles that exists in their native East Asia was disrupted. When the beetles were introduced to North America more than 200 years later, however, they quickly attacked mimosa trees, illustrating the generalization that links between predators and prey “can persist across centuries and continents.” Choice A is incorrect because the third sentence doesn’t indicate that Chang and colleagues were investigating any particular hypothesis. According to the text, Chang and colleagues were simply monitoring mimosa trees when the beetles happened to be introduced to the area. Choice C is incorrect because the third sentence offers a generalization about the relationship between predators and prey, not an explanation for the findings of Chang and colleagues that differs from an explanation presented elsewhere in the text. Choice D is incorrect because the third sentence doesn’t discuss any particular species (either the species mentioned elsewhere in the text or any other) and doesn’t help explain why species spread to new locations.","The sentence ""But evolutionary links between predators and their prey can persist across centuries and continents"" makes a broad, general statement about ecological relationships. The subsequent sentences then provide a specific historical example: mimosa trees and *B. terrenus* beetles, initially separated by continent and time, show their persisting evolutionary link when *B. terrenus* is introduced to North America, quickly attacking the mimosa trees. Thus, the third sentence sets up a general principle that the rest of the paragraph then illustrates.","This choice is incorrect. The third sentence provides a general principle about predator-prey relationships. It does not state a hypothesis that Chang and colleagues set out to investigate; rather, their monitoring simply observed the re-establishment of a known ecological link.","This is the correct answer. The third sentence presents a broad, overarching claim or principle (""evolutionary links between predators and their prey can persist across centuries and continents""). The subsequent sentences then provide the specific details of the mimosa tree and *B. terrenus* beetle interaction, serving as a concrete example that demonstrates and supports this generalization.","This choice is incorrect. The third sentence offers a generalization that helps explain the observation, but it does not offer an *alternative explanation* to findings by Chang and colleagues. The text does not suggest a prior explanation for their findings.","This choice is incorrect. The third sentence is about the persistence of evolutionary links, not about *why* species spread to new locations. The text simply states that mimosa trees ""were introduced"" and *B. terrenus* ""was introduced,"" without elaborating on the reasons for their spread."
CB-T4-RW1-Q9,CB-T4-RW-M1,Reading Writing,Information and Ideas,Synthesis (connecting multiple texts),Hard,"Text 1: Conventional wisdom long held that human social systems evolved in stages, beginning with hunter-gatherers forming small bands of members with roughly equal status. The shift to agriculture about 12,000 years ago sparked population growth that led to the emergence of groups with hierarchical structures: associations of clans first, then chiefdoms, and finally, bureaucratic states. Text 2: In a 2021 book, anthropologist David Graeber and archaeologist David Wengrow maintain that humans have always been socially flexible, alternately forming systems based on hierarchy and collective ones with decentralized leadership. The authors point to evidence that as far back as 50,000 years ago some hunter-gatherers adjusted their social structures seasonally, at times dispersing in small groups but also assembling into communities that included esteemed individuals. Based on the texts, how would Graeber and Wengrow (Text 2) most likely respond to the ""conventional wisdom"" presented in Text 1?",,By conceding the importance of hierarchical systems but asserting the greater significance of decentralized collective societies,By disputing the idea that developments in social structures have followed a linear progression through distinct stages,By acknowledging that hierarchical roles likely weren't a part of social systems before the rise of agriculture,By challenging the assumption that groupings of hunter-gatherers were among the earliest forms of social structure,By disputing the idea that developments in social structures have followed a linear progression through distinct stages,"Choice B is the best answer because it describes the most likely way that Graeber and Wengrow (Text 2) would respond to the “conventional wisdom” presented in Text 1. According to Text 1, the conventional wisdom about human social systems is that they developed through stages, beginning with hunter-gatherer bands, then moving to clan associations, then chiefdoms, and finally arriving at states with bureaucratic structures. Text 2 indicates that Graeber and Wengrow believe that human social systems have been flexible, shifting between different types of structures, including both hierarchical and collective systems, and that these shifts may have even occurred seasonally. This suggests that Graeber and Wengrow would dispute the idea that developments in social structures have followed a linear progression through distinct stages. Choice A is incorrect because nothing in Text 2 suggests that Graeber and Wengrow believe that decentralized collective societies are more significant than hierarchical systems. Text 2 is focused on Graeber and Wengrow’s view that humans have flexibly shifted among various social structures, not on the importance of particular structures relative to others. Choice C is incorrect because Text 2 doesn’t include any information suggesting that Graeber and Wengrow believe that hierarchies didn’t emerge until after the rise of agriculture. In fact, Text 2 indicates that Graeber and Wengrow cite evidence suggesting that some hunter-gatherer groups formed social structures with hierarchical elements (“communities that included esteemed individuals”) 50,000 years ago, long before the rise of agriculture, which Text 1 says occurred around 12,000 years ago. Choice D is incorrect because there’s no information in Text 2 suggesting that Graeber and Wengrow would challenge the assumption that groupings of hunter-gatherers were among the earliest forms of social structure. Although Text 1 does indicate that hunter-gatherer groups are assumed to be the earliest human social system, Text 2 says only that Graeber and Wengrow believe that some hunter-gatherer groups made use of different social structures at different times. Text 2 doesn’t imply that Graeber and Wengrow doubt that hunter-gatherer groups preceded most other social structures.","Text 1 describes ""conventional wisdom"" as social systems evolving in a ""linear progression through distinct stages"" (hunter-gatherers -> clans -> chiefdoms -> states). Text 2, by Graeber and Wengrow, directly challenges this by stating humans have ""always been socially flexible, alternately forming systems based on hierarchy and collective ones"" and provides evidence of hunter-gatherers having hierarchical elements 50,000 years ago. This directly refutes the idea of a fixed, linear progression.","This choice is incorrect. Text 2 focuses on the *flexibility* of human social structures, not asserting the ""greater significance"" of decentralized societies over hierarchical ones. It suggests both types existed at various times.","This is the correct answer. Text 1 describes a ""linear progression through distinct stages"" of social evolution. Text 2 directly contrasts this by arguing that humans have ""always been socially flexible, alternately forming systems based on hierarchy and collective ones"" and provides evidence that undermines a rigid, stage-based view.","This choice is incorrect. Text 2 explicitly states that some hunter-gatherer groups, dating back 50,000 years (long before agriculture), ""included esteemed individuals,"" which implies the presence of hierarchical elements. Thus, they would acknowledge, not deny, that hierarchical roles existed early.","This choice is incorrect. While Text 2 presents an alternative view of social flexibility, it does not challenge the assumption that hunter-gatherer groupings were *among the earliest forms* of social structure. It rather complicates *how* those groupings operated."
CB-T4-RW1-Q10,CB-T4-RW-M1,Reading Writing,Information and Ideas,Main idea,Medium,"The following text is adapted from Frances Hodgson Burnett's 1911 novel The Secret Garden. Mary, a young girl, recently found an overgrown hidden garden. Mary was an odd, determined little person, and now she had something interesting to be determined about, she was very much absorbed, indeed. She worked and dug and pulled up weeds steadily, only becoming more pleased with her work every hour instead of tiring of it. It seemed to her like a fascinating sort of play. Which choice best states the main idea of the text?",,Mary hides in the garden to avoid doing her chores.,Mary is getting bored with pulling up so many weeds in the garden.,Mary is clearing out the garden to create a space to play.,Mary feels very satisfied when she's taking care of the garden.,Mary feels very satisfied when she's taking care of the garden.,"Choice D is the best answer because it most accurately states the main idea of the text. The text describes Mary’s activities in an overgrown hidden garden, saying that she was “very much absorbed” and was “only becoming more pleased with her work every hour” rather than getting tired of it. She also thinks of garden activities as a “fascinating sort of play.” Thus, the main idea of the text is that Mary feels very satisfied when taking care of the garden. Choice A is incorrect because the text never makes any mention of Mary’s chores. Choice B is incorrect because the text indicates that Mary finds pulling up weeds to be fascinating, not boring. Choice C is incorrect because Mary thinks of garden activities in and of themselves as play, not as something necessary to do to create a space to play.","The text describes Mary's engagement with the garden: she was ""very much absorbed,"" ""only becoming more pleased with her work every hour instead of tiring of it,"" and considered it a ""fascinating sort of play."" All these phrases emphasize her positive feelings and enjoyment derived from tending to the garden.",This choice is incorrect. The text does not mention Mary having chores or hiding in the garden. It focuses on her active engagement with the garden itself.,"This choice is incorrect. The text explicitly states that Mary became ""more pleased with her work every hour instead of tiring of it,"" which directly contradicts the idea that she is getting bored.","This choice is incorrect. While Mary is indeed clearing the garden, the text presents her activities as ""fascinating sort of play"" in themselves, suggesting the *process* of working in the garden is enjoyable, not just the *goal* of creating a space for playing.","This is the correct answer. The text describes Mary's deep absorption and increasing pleasure in working in the garden, explicitly stating she found it a ""fascinating sort of play"" and did not tire of it. This clearly indicates her satisfaction."
CB-T4-RW1-Q11,CB-T4-RW-M1,Reading Writing,Information and Ideas,Explicit information,Medium,"The following text is from Ezra Pound's 1909 poem ""Hymn III,” based on the work of Marcantonio Flaminio. As a fragile and lovely flower unfolds its gleaming foliage on the breast of the fostering earth, if the dew and the rain draw it forth; So doth my tender mind flourish, if it be fed with the sweet dew of the fostering spirit, Lacking this, it beginneth straightway to languish, even as a floweret born upon dry earth, if the dew and the rain tend it not. Based on the text, in what way is the human mind like a flower?",,It becomes increasingly vigorous with the passage of time.,It draws strength from changes in the weather.,It requires proper nourishment in order to thrive.,It perseveres despite challenging circumstances.,It requires proper nourishment in order to thrive.,"Choice C is the best answer because it presents a description of how the human mind is like a flower that is directly supported by the text. The text compares the needs of a “fragile and lovely flower” to those of the speaker’s “tender mind”: both need to be fed if they’re going to survive. Without such feeding, they’ll “beginneth straightway to languish,” or weaken. Thus, the text suggests that the human mind is like a flower in that they both need proper nourishment in order to thrive. Choice A is incorrect because the text doesn’t address the passage of time or describe either the human mind or a flower as becoming increasingly vigorous. Choice B is incorrect because the text doesn’t suggest that human minds or flowers draw strength from changes in weather. The references to rain in the text pertain to a flower’s need for water rather than the general effects of changing weather. Choice D is incorrect because the text doesn’t suggest that the human mind or a flower will persist regardless of challenging circumstances. In fact, the text indicates that they’ll both languish right away if not given what they need.","The poem uses a direct analogy: ""As a fragile and lovely flower...if the dew and the rain draw it forth; / So doth my tender mind flourish, if it be fed with the sweet dew of the fostering spirit, / Lacking this, it beginneth straightway to languish."" The comparison is explicit: both the flower and the mind need proper ""feeding"" or ""fostering"" (nourishment) to ""flourish"" (thrive) and will ""languish"" (wither) without it.","This choice is incorrect. The text describes the immediate need for nourishment for both the flower and the mind to flourish, not a gradual process of becoming more vigorous over time. In fact, it says they ""languish straightway"" without nourishment.","This choice is incorrect. The ""dew and rain"" are mentioned as nourishment for the flower, not as ""changes in the weather"" that provide strength. The analogy is about constant provision, not adaptation to variable weather.","This is the correct answer. The poem explicitly states that just as a flower needs ""dew and rain"" to ""unfold"" and ""flourish,"" the human mind needs to be ""fed with the sweet dew of the fostering spirit"" to ""flourish."" Without this nourishment, both ""beginneth straightway to languish.""","This choice is incorrect. The poem states that both the flower and the mind will ""languish"" if they lack the necessary nourishment, directly implying that they do *not* persevere despite challenging circumstances but rather succumb to them."
CB-T4-RW1-Q12,CB-T4-RW-M1,Reading Writing,Information and Ideas,Main idea,Medium,"The following text is adapted from Jack London's 1903 novel The Call of the Wild. Buck is a sled dog living with John Thornton in Yukon, Canada. Thornton alone held [Buck]. The rest of mankind was as nothing. Chance travellers might praise or pet him; but he was cold under it all, and from a too demonstrative man he would get up and walk away. When Thornton's partners, Hans and Pete, arrived on the long-expected raft, Buck refused to notice them till he learned they were close to Thornton; after that he tolerated them in a passive sort of way, accepting favors from them as though he favored them by accepting. Which choice best states the main idea of the text?",,Buck has become less social since he began living with Thornton.,Buck mistrusts humans and does his best to avoid them.,Buck has been especially well liked by most of Thornton's friends.,Buck holds Thornton in higher regard than any other person.,Buck holds Thornton in higher regard than any other person.,"Choice D is the best answer because it most accurately states the main idea of the text. After establishing that Buck views most people “as nothing,” the text explains that Buck won’t acknowledge people other than Thornton unless they appear friendly toward Thornton, and even then he’s only reluctantly accepting. Thus, the text focuses on the idea that Thornton has a special status in Buck’s mind, with Buck holding him in higher regard than other people. Choice A is incorrect because the text conveys that Buck isn’t social with people other than Thornton but doesn’t address Buck’s life or temperament before he lived with Thornton. Choice B is incorrect because the text conveys that Buck doesn’t really care about people other than Thornton and is aloof toward them. However, there’s no indication that Buck mistrusts and avoids people generally; indeed, he accepts Thornton, who is a human. Choice C is incorrect because the text refers to random travelers praising and petting Buck and Thornton’s partners giving Buck favors, but there’s no indication that any of these people are Thornton’s friends or that they have a particular fondness for Buck.","The passage repeatedly emphasizes Buck's unique devotion to Thornton. It states, ""Thornton alone held [Buck]. The rest of mankind was as nothing."" Even when Thornton's partners, Hans and Pete, arrived on the long-expected raft, Buck refused to notice them till he learned they were close to Thornton; after that he tolerated them in a passive sort of way, accepting favors from them as though he favored them by accepting. This shows Buck's singular focus and deep bond with Thornton, placing him above all others.","This choice is incorrect. While the text shows Buck is aloof toward others *compared to Thornton*, it doesn't provide information about Buck's life or temperament before he lived with Thornton or suggest a change in his overall sociability. The focus is on his relationship with Thornton.","This choice is incorrect. The text conveys that Buck doesn't really care about people other than Thornton and is aloof toward them. However, there's no indication that Buck mistrusts and avoids people generally; indeed, he accepts Thornton, who is a human.","This choice is incorrect. The text refers to ""random travelers praising and petting Buck"" and ""Thornton's partners giving Buck favors,"" but there's no indication that any of these people are Thornton's friends or that they have a particular fondness for Buck.","This is the correct answer. The passage explicitly states, ""Thornton alone held [Buck]. The rest of mankind was as nothing."" Buck's behavior towards others is entirely contingent on their proximity or connection to Thornton, demonstrating his unique and superior regard for Thornton."
